30_wiki\bridges\bridge-coaching-leadership-feature-layered.md	yitang,management,coaching,ai-collaboration
30_wiki\bridges\bridge-meeting-leadership-coaching.md	yitang,management
30_wiki\cases\case-4000-titles-ten-strategies.md	research,content-production,yitang
30_wiki\cases\case-ai-agent-milestone-design.md	ai-collaboration,yitang
30_wiki\cases\case-ai-learning-series-modeling.md	research,ai-basic,yitang
30_wiki\cases\case-ai-time-management-tiered-growth.md	yitang,ai
30_wiki\cases\case-ban-fei-mao-conversion-hacker-skill.md	ai-collaboration,yitang
30_wiki\cases\case-ban-fei-mao-skill-ab-test.md	ai-collaboration,yitang
30_wiki\cases\case-bmw-human-ai-collaboration-idle-time.md	ai-collaboration,manufacturing,yitang
30_wiki\cases\case-candy-problem-os-vpn.md	yitang,content-production
30_wiki\cases\case-coaching-dialogue-three-versions.md	yitang,management,coaching
30_wiki\cases\case-cross-yuanqi-forest.md	strategy,lean-startup,yitang
30_wiki\cases\case-decision-science-lunch-break-compression.md	decision-science,yitang
30_wiki\cases\case-decision-science-topcity-negative-revenue-rank.md	decision-science,yitang
30_wiki\cases\case-decision-science-universal-salary-raise-roi.md	decision-science,yitang
30_wiki\cases\case-demand-ai-fitness-four-forces.md	yitang,five-step-method
30_wiki\cases\case-demand-b2b-enterprise-erp.md	demand-analysis,yitang
30_wiki\cases\case-demand-b2c-consumer-insight.md	demand-analysis,yitang
30_wiki\cases\case-demand-dialer.md	yitang,five-step-method
30_wiki\cases\case-demand-elderly-smart-device.md	yitang,five-step-method
30_wiki\cases\case-demand-equestrian-three-tasks.md	yitang,five-step-method
30_wiki\cases\case-demand-financial-literacy.md	yitang,five-step-method
30_wiki\cases\case-demand-iceberg-few-shot.md	yitang,demand-analysis
30_wiki\cases\case-demand-indonesia-insurance.md	yitang,five-step-method
30_wiki\cases\case-demand-milkshake-jtbd.md	yitang,five-step-method
30_wiki\cases\case-demand-pharma-bigdata.md	yitang,five-step-method
30_wiki\cases\case-demand-restaurant-hiring.md	yitang,five-step-method
30_wiki\cases\case-demand-rural-5g.md	yitang,five-step-method
30_wiki\cases\case-demand-silver-parenting.md	yitang,five-step-method
30_wiki\cases\case-demand-tier4-housekeeping.md	yitang,five-step-method
30_wiki\cases\case-demand-travel-agent.md	yitang,five-step-method
30_wiki\cases\case-dental-clinic-formula.md	yitang,healthcare,business-strategy
30_wiki\cases\case-doris-2014-music-streaming-prediction.md	yitang,research
30_wiki\cases\case-doris-beauty-ecommerce-channel.md	yitang,research
30_wiki\cases\case-doris-catering-chain-benchmark.md	yitang,research
30_wiki\cases\case-doris-crossborder-ecommerce-opportunity.md	yitang,research
30_wiki\cases\case-doris-grab-industry-cognition.md	yitang,research
30_wiki\cases\case-doris-outbound-travel-community.md	yitang,research
30_wiki\cases\case-essence-education-strategy.md	yitang,modeling,strategy
30_wiki\cases\case-essence-entrepreneurship.md	yitang,entrepreneurship,modeling
30_wiki\cases\case-essence-humanity-trap.md	yitang,modeling,essence
30_wiki\cases\case-feishu-live259-l3-extraction.md	feishu,extraction,browser-automation,yitang
30_wiki\cases\case-gym-membership-formula.md	yitang,business-strategy
30_wiki\cases\case-hr-saas-feature-usage-trap.md	yitang,ai-saas,business-strategy
30_wiki\cases\case-ji-hao-ai-workspace-chaos.md	ai-collaboration,yitang
