目标录音：102 条，已完成 0 条
[1/102] 8042676 已保存 | 张磊-精益方法论培训 | 原文 260 段
[2/102] 8038241 已保存 | 业务公式拆解培训 | 原文 1038 段
[3/102] 8037140 已保存 | 戴志龙-AI剧本创作分享 | 原文 1119 段
[4/102] 7759098 已保存 | AI场景落地方法分享 | 原文 1065 段
[5/102] 7756785 已保存 | 世界发展-偶然与必然讨论 | 原文 1072 段
[6/102] 7676884 已保存 | 一堂-AI数据必修课 | 原文 668 段
[7/102] 7672148 已保存 | AI数据第一课闲聊篇.mp4 | 原文 438 段
[8/102] 7490653 已保存 | 2026-05-22 20:58 录音 | 原文 0 段
[9/102] 7356146 已保存 | 一堂-AI工具应用AMA | 原文 1423 段
[10/102] 7259388 已保存 | 何老师-智能入口开发会议 | 原文 3 段
[11/102] 7095114 已保存 | 一堂-思维模型案例分享 | 原文 1511 段
[12/102] 7091957 已保存 | Y模型探索营-第二节课 | 原文 1709 段
[13/102] 7089595 已保存 | 一堂-Y模型实操探索营 | 原文 1700 段
[14/102] 6986408 已保存 | 一堂-知识萃取探索营 | 原文 1547 段
[15/102] 6969299 已保存 | 一堂-IPO模型实操课 | 原文 1689 段
[16/102] 6969289 已保存 | 2026-05-06 13:07 录音 | 原文 0 段
