id,name,folder,duration,status,data_status,summary_status,tags,topics,created_at,file_path
8042676,"2026-06-14 11:40 录音","",00:00,1,,3,"","",今天 11:40,https://tnoss.itingnao.com/tmp/240745_8042676/086yq8bxoch000ro5v8cmhomkke0rm2f.wav?auth_key=1781413993-outri615b1gukjokw3fd8w90tedp818f-0-18b38383f6c110c0b577b9419c275900
8038241,"业务公式拆解培训","业务公式拆解",01:25:20,4,1,1,"上海 深圳 一堂 业务公式 GMV 转化率 复购率 客单价 LTV ROI 因果关系 参数拆解 私域电商","业务公式核心要素：看得清、讲得明、做得准|常见问题：公式拆分浅、参数随意、逻辑混乱|关键技巧：分层拆解、参数定量、因果验证",06-13 22:08,https://tnoss.itingnao.com/tmp/240745_8038241/q1rotlmzunlkn0shm1ojfne2ofrv58u9.mp3?auth_key=1781413993-holmsxejutr1dtcdq753yti4jvp93mlb-0-ff065b0f350befa595bc1052e1e1ca7b
8037140,"戴志龙-AI剧本创作分享","AI短剧",02:04:37,4,1,1,"山东 北京数学短剧专业 戴志龙 AI剧本 短剧 漫剧 爆款剧本 剧本拆解 AIGC 平台规则 变现 钩子设计","AI剧本写作方法论：拆本与写本罗盘|AI应用：10分钟生成60集短剧剧本|短剧市场：25年总产值突破1000亿",06-13 20:01,https://tnoss.itingnao.com/tmp/75866295-5210-44e0-bad8-20bd66532367.mp3?auth_key=1781413993-4yug1o1ox96igrw1le00xavmx0njo5sn-0-ae2d9f8bac8dfc03f96b1881c0b6ab3c
8032774,"医疗系统-合作沟通","鑫港湾",02:10:02,4,1,1,"山东 广东 江西 临沂 广州 深圳 黄埔 白云区 医疗系统 智能药柜 慢性病 电子处方 医保报销 SaaS 云端部署 精准投流 短视频推广 会员系统","系统功能：诊断开方病例药房基础功能已上线|合作模式：智能药柜合作分成及推广引流|合规要求：医生资质备案及医保政策适配",06-13 14:29,https://tnoss.itingnao.com/tmp/240745_8032774/rsj1slw3uuvf58k396nwsa484oceeerw.mp3?auth_key=1781413993-cckpfqe4uj1950bxke1fari2qbazomad-0-93fb20ca8ea3ef6343ffdc296426867a
8028892,"智能药柜-招商合作沟通","七件事",03:05:35,4,1,1,"深圳 广东 白云区 四川 达州 巴中 河南 江西 腾讯云 阿里云 支付宝 兼职猫 仁和药业 鸿茅药酒 智能药柜 招商合作 分销系统 私域运营 合规方案 分润体系 AI健康管理 源代码交付","核心业务：智能药柜招商与系统搭建|合作模式：咨询+系统+招商陪跑|合规重点：股权架构与风险隔离",06-13 10:05,https://tnoss.itingnao.com/tmp/240745_8028892/0dhsc50pawl8zb2o9v0pck24tgnfsou7.mp3?auth_key=1781413993-gdfl0ai2trm1ncxkurlwb4xwy0pumaob-0-907cb2e9df05259602def10cd335469f
8024371,"一堂-建模能力培训","",03:52:50,4,1,1,"北京 一堂 一堂 建模 知识萃取 SOP 逻辑链 MECE 方法论 AI 抽象能力 本质提炼","核心竞争力：建模与知识萃取能力|建模三阶段：流程、抽象、本质提炼|AI时代建模能力是高阶基本功",06-12 21:00,https://tnoss.itingnao.com/tmp/240745_8024371/golxc5va60phzedehcpt0bt81dphg7x4.mp3?auth_key=1781413993-zrgy4wsw149272dzqbkweeg0rh7j40d7-0-c819238decfe8185937bb5f9c14d0386
8020205,"鑫港湾-工作进展会议","",41:02,4,1,1,"江苏常州 福建漳州 番禺 杭州 浙江 西藏 湖北 鑫港湾 杭州九虎医疗器械公司 浙江岁康科技有限公司 湖北户外健康 鑫港湾 前端开发 处方上传 官网建设 数据看板 联保维护 报价单 客户信息 XY轴药柜 BI大屏","完成细节调整并发出新内容|推进患者附件前端开发及手机上传功能|企业官网建设完成并准备上线",06-12 17:04,https://tnoss.itingnao.com/tmp/240745_8020205/c33qk3tz7ok3eexdiv49v1wq2otdi76z.mp3?auth_key=1781413993-k1a34b8fu1x4kzbdroudymsa4gee27sj-0-d9c4c03c1b6605c56aa425545523570f
7983893,"药柜-硬件软件合作沟通","",52:46,4,1,1,"咸塘镇 新加坡 东莞宜家上市公司 江朝汇 药柜 售货机 硬件 软件 系统对接 医保系统 支付宝 微信支付 第三方支付 成本","客户需求：小批量订单，3台起订|合作模式：硬件方组装，软件方提供技术|成本控制：硬件成本为主，软件报价需确认",06-11 15:12,https://tnoss.itingnao.com/tmp/240745_7983893/d8ehq7mjy0brriiqwv4oi0vseqhw2z7g.mp3?auth_key=1781413993-aya4xp3646559r1p8fducx37r041bis6-0-995982723389719c5abbdd0a104e13b8
7980633,"钣金外贸-生产沟通","",33:41,4,1,1,"东莞 浙江 江苏 永州 番禺 陈村 深圳 长沙 河北 湖北 千惠 外贸 钣金 设备故障 批量生产 成本控制 质量 售后 供应链 家庭作坊 千惠","外贸发展：已做三四年，现状良好|生产难点：小批量订单效率低、成本高|市场竞争：河北家庭作坊低价冲击质量差",06-11 14:13,https://tnoss.itingnao.com/tmp/240745_7980633/nh9qvr7iyodyt3l87k72osvt48668xu5.mp3?auth_key=1781413993-rbsf2dcl4fv7em824kr3ivpwjd03uvss-0-a3ef9a932bee21915251b943d3a2ac60
7978261,"制造业-供应链沟通","",46:55,4,1,1,"番禺 深圳 杭州 佛山 东莞 南沙 广州 白云 供应链 硅胶膜 钣金 喷涂 附着力 机械手 自动售货机 行星减速电机 AV小车 二维码定位","成本控制：硅胶膜替代传统开模降本|行业趋势：自动化设备需求增长|供应链挑战：小批量订单生产困难",06-11 13:06,https://tnoss.itingnao.com/tmp/240745_7978261/30slje9mtak0j294zjl1u279w9d4vd8c.wav?auth_key=1781413993-2dceitucl34nh65nqbg52pchflr1i1id-0-ca76ee13fc11050028d3bb8cfb1988ea
