id,name,folder,duration,status,data_status,summary_status,primary,tags,created_at
8042676,"2026-06-14 11:40 录音","",00:00,1,0,3,未分类,"",今天 11:40
8038241,"业务公式拆解培训","业务公式拆解",01:25:20,4,1,1,商业方法论,"商业方法论",06-13 22:08
8037140,"戴志龙-AI剧本创作分享","AI短剧",02:04:37,4,1,1,AI/技术,"AI/技术|商业方法论",06-13 20:01
8032774,"医疗系统-合作沟通","鑫港湾",02:10:02,4,1,1,智能药柜/医疗业务,"智能药柜/医疗业务",06-13 14:29
8028892,"智能药柜-招商合作沟通","七件事",03:05:35,4,1,1,销售/招商/合作沟通,"销售/招商/合作沟通",06-13 10:05
8024371,"一堂-建模能力培训","",03:52:50,4,1,1,一堂课程,"一堂课程|AI/技术",06-12 21:00
8020205,"鑫港湾-工作进展会议","",41:02,4,1,1,内部技术/工作讨论,"内部技术/工作讨论|智能药柜/医疗业务|医疗系统/合规",06-12 17:04
7983893,"药柜-硬件软件合作沟通","",52:46,4,1,1,智能药柜/医疗业务,"智能药柜/医疗业务|供应链/硬件制造|销售/招商/合作沟通",06-11 15:12
7980633,"钣金外贸-生产沟通","",33:41,4,1,1,供应链/硬件制造,"供应链/硬件制造",06-11 14:13
7978261,"制造业-供应链沟通","",46:55,4,1,1,供应链/硬件制造,"供应链/硬件制造",06-11 13:06
7962048,"一堂-五步法落地篇","",03:00:39,4,1,1,一堂课程,"一堂课程",06-10 19:18
7958933,"一堂-商业壁垒课程","一堂五步法",02:12:55,4,1,1,一堂课程,"一堂课程|商业方法论",06-10 17:05
7950882,"一堂-五步法增长课程","一堂五步法",01:46:59,4,1,1,一堂课程,"一堂课程",06-10 14:22
7946945,"一堂-AI落地行动营课程","一堂五步法",02:29:56,4,1,1,AI/技术,"AI/技术|一堂课程|商业方法论|销售/招商/合作沟通",06-10 11:52
7939062,"一堂-单元模型课程","一堂五步法",02:15:37,4,1,1,商业方法论,"商业方法论|一堂课程",06-10 09:06
7931992,"一堂-产品内核课程","一堂五步法",02:25:10,4,1,1,一堂课程,"一堂课程",06-09 19:09
7923077,"润馨堂-公司债务与发展沟通","",55:13,4,1,1,未分类,"",06-09 14:59
7908080,"一堂-需求分析课程","一堂五步法",03:00:42,4,1,1,一堂课程,"一堂课程",06-09 08:31
7903685,"AI专栏-学习分享","水水拆书",01:52:52,4,1,1,AI/技术,"AI/技术",06-08 20:17
7898987,"运营小程序-功能讨论","巨米软件",45:37,4,1,1,智能药柜/医疗业务,"智能药柜/医疗业务|内部技术/工作讨论|诊所/患者相关|医疗系统/合规|销售/招商/合作沟通",06-08 16:57
7887367,"鑫港湾-业务经营会议","",01:15:09,4,1,1,智能药柜/医疗业务,"智能药柜/医疗业务|商业方法论",06-08 12:21
7882941,"数字展厅-智能药柜方案沟通","",50:29,4,1,1,智能药柜/医疗业务,"智能药柜/医疗业务|AI/技术|一堂课程",06-08 10:32
7868555,"一堂-需求分析课程","",02:02:29,4,1,1,一堂课程,"一堂课程",06-07 14:52
7867210,"一堂-五步法课程","",02:12:52,4,1,1,一堂课程,"一堂课程",06-07 12:39
7849729,"楚门-记笔记方法培训","",01:14:20,4,1,1,AI/技术,"AI/技术|一堂课程|内部技术/工作讨论",06-05 23:21
7848461,"一堂-AI时代清单体笔记","",01:50:29,4,1,1,AI/技术,"AI/技术|一堂课程",06-05 21:00
7845053,"一堂-关键假设课程","",02:02:58,4,1,1,一堂课程,"一堂课程",06-05 17:31
7830154,"一堂-商业预判课程","",02:26:40,4,1,1,一堂课程,"一堂课程|商业方法论",06-05 10:56
7822579,"AI俱乐部-AI协作方法论分享","",02:25:42,4,1,1,AI/技术,"AI/技术|一堂课程",06-05 08:23
7817815,"一堂-AI学习落地分享","",01:55:00,4,1,1,AI/技术,"AI/技术|一堂课程|商业方法论",06-04 19:59
7793111,"一堂-产品内核迭代课程","",02:43:18,4,1,1,一堂课程,"一堂课程|商业方法论|内部技术/工作讨论",06-04 08:46
7787000,"一堂-产品内核验证课","",02:28:21,4,1,1,一堂课程,"一堂课程",06-03 19:27
7761497,"一堂-产品内核实操课","",02:15:04,4,1,1,一堂课程,"一堂课程|商业方法论",06-03 08:19
7759098,"AI场景落地方法分享","",01:17:06,4,1,1,AI/技术,"AI/技术|一堂课程|商业方法论",06-02 22:43
7756785,"世界发展-偶然与必然讨论","",02:17:45,4,1,1,内部技术/工作讨论,"内部技术/工作讨论",06-02 20:09
7734624,"中医数字化-AI解决方案介绍","",16:04,4,1,1,医疗系统/合规,"医疗系统/合规|智能药柜/医疗业务|AI/技术",06-02 10:12
7703261,"多人-机型确定与供应商会议","",20:12,4,1,1,智能药柜/医疗业务,"智能药柜/医疗业务|内部技术/工作讨论",06-01 09:43
7688248,"一堂-数据飞轮培训","",37:31,4,1,1,AI/技术,"AI/技术|一堂课程|内部技术/工作讨论",05-31 10:43
7685126,"一堂-AI数据飞轮方法论","",01:24:34,4,1,1,AI/技术,"AI/技术|一堂课程",05-30 23:15
7683984,"张磊-健康数据管理会议","",23:01,4,1,1,智能药柜/医疗业务,"智能药柜/医疗业务",05-30 21:03
7676884,"一堂-AI数据必修课","AI学习",01:09:22,4,1,1,AI/技术,"AI/技术|一堂课程",05-30 11:33
7672148,"AI数据第一课闲聊篇.mp4","AI学习|客户销售",49:15,4,1,1,AI/技术,"AI/技术|一堂课程",05-30 01:42
7639180,"Leo-文创案例设计课","AI学习",02:30:47,4,1,1,AI/技术,"AI/技术|一堂课程",05-28 19:30
7609223,"多人-供应链赋能项目会议","",02:55:33,4,1,1,供应链/硬件制造,"供应链/硬件制造|内部技术/工作讨论",05-27 18:42
7580930,"李诞-工作与创作分享","",02:24:43,4,1,1,未分类,"",05-26 20:02
7505843,"张磊-单元模型培训","单元模型",02:04:50,4,1,1,一堂课程,"一堂课程|AI/技术|商业方法论",05-23 21:08
7490653,"2026-05-22 20:58 录音","",00:32,90,0,3,未分类,"",05-22 20:58
7448908,"多人-硬件故障排查","",27:21,4,1,1,供应链/硬件制造,"供应链/硬件制造",05-21 16:37
7444322,"多人-药店运营模式沟通","",19:40,4,1,1,智能药柜/医疗业务,"智能药柜/医疗业务|一堂课程",05-21 15:07
7422751,"国帅-AI时代判断力分享","AI学习",03:00:12,4,1,1,AI/技术,"AI/技术|一堂课程",05-20 19:59
7389337,"一堂-规模经济分析课","单元模型",02:31:40,4,1,1,一堂课程,"一堂课程|商业方法论",05-19 23:59
7386042,"一堂-科学提问直播","AI学习",02:59:13,4,1,1,AI/技术,"AI/技术|一堂课程",05-19 20:04
7381580,"一堂-单元模型课程","单元模型",02:07:56,4,1,1,一堂课程,"一堂课程",05-19 16:58
7371206,"一堂-单元模型实操课","单元模型",03:00:00,4,1,1,一堂课程,"一堂课程",05-19 13:40
7366314,"一堂-单元模型实操课","单元模型",02:44:38,4,1,1,一堂课程,"一堂课程|销售/招商/合作沟通",05-19 10:55
7356146,"一堂-AI工具应用AMA","AI学习",08:08:52,4,1,1,AI/技术,"AI/技术|一堂课程",05-19 00:19
7319551,"月白-AI设计基础分享","",01:37:28,4,1,1,AI/技术,"AI/技术|一堂课程",05-17 22:55
7316387,"AI设计-AI设计师实操培训","",03:15:12,4,1,1,AI/技术,"AI/技术|一堂课程",05-17 18:44
7301634,"多人-智能设备开发沟通","",01:26:31,4,1,1,医疗系统/合规,"医疗系统/合规|AI/技术|供应链/硬件制造|内部技术/工作讨论",05-16 17:32
7296034,"多人-硬件开发技术沟通","",53:48,4,1,1,智能药柜/医疗业务,"智能药柜/医疗业务|供应链/硬件制造|内部技术/工作讨论",05-16 12:27
7289067,"一堂-AI落地行动营","",03:00:10,4,1,1,AI/技术,"AI/技术|一堂课程|商业方法论",05-16 03:37
7288745,"一堂-RY科学决策课程","科学决策",02:27:43,4,1,1,一堂课程,"一堂课程",05-16 01:01
7286633,"一堂-ROI系列课最后一节","科学决策",02:20:35,4,1,1,一堂课程,"一堂课程|商业方法论",05-15 21:19
7284548,"一堂-ROI系列课第三讲","科学决策",02:14:14,4,1,1,一堂课程,"一堂课程|商业方法论",05-15 19:02
7265692,"多人-烟花行业数字化讨论","",01:44:18,4,1,1,内部技术/工作讨论,"内部技术/工作讨论",05-15 11:02
7259388,"何老师-智能入口开发会议","",01:45:35,4,1,1,内部技术/工作讨论,"内部技术/工作讨论",05-15 09:18
7254330,"一堂-ROI决策宽度实操课","科学决策",02:10:56,4,1,1,一堂课程,"一堂课程|商业方法论",05-14 23:07
7252013,"一堂-ROI评估课程","科学决策",02:20:02,4,1,1,一堂课程,"一堂课程|商业方法论",05-14 20:47
7247298,"药柜-技术开发沟通","",01:40:31,4,1,1,智能药柜/医疗业务,"智能药柜/医疗业务|内部技术/工作讨论",05-14 17:30
7211284,"吴恩达-提示词课程分享","",02:05:12,4,1,1,AI/技术,"AI/技术|内部技术/工作讨论",05-13 17:51
7180367,"袁总-项目合作沟通","",01:18:48,4,1,1,智能药柜/医疗业务,"智能药柜/医疗业务|销售/招商/合作沟通",05-12 22:55
7174842,"多人-运营合作模式沟通","",31:07,4,1,1,销售/招商/合作沟通,"销售/招商/合作沟通",05-12 18:22
7174035,"多人-租房费用结算沟通","",03:20,4,1,1,未分类,"",05-12 17:54
7164632,"医疗AI-垂类模型应用讨论","",02:04:10,4,1,1,医疗系统/合规,"医疗系统/合规|智能药柜/医疗业务|AI/技术|内部技术/工作讨论",05-12 14:52
7156874,"多人-机器人行业交流","",53:12,4,1,1,智能药柜/医疗业务,"智能药柜/医疗业务|内部技术/工作讨论",05-12 11:39
7151864,"多人-新疆医疗项目合作","",01:28:04,4,1,1,智能药柜/医疗业务,"智能药柜/医疗业务|医疗系统/合规|销售/招商/合作沟通",05-12 10:10
7143237,"一堂-讲香基本功课程","",03:00:07,4,1,1,一堂课程,"一堂课程",05-12 00:39
7095114,"一堂-思维模型案例分享","",02:30:30,4,1,1,一堂课程,"一堂课程",05-10 16:47
7091957,"Y模型探索营-第二节课","Y模型",02:41:06,4,1,1,一堂课程,"一堂课程",05-10 14:06
7089595,"一堂-Y模型实操探索营","Y模型",02:25:09,4,1,1,一堂课程,"一堂课程",05-10 11:36
7081410,"一堂-泛产品设计课程","泛产品设计",02:44:17,4,1,1,一堂课程,"一堂课程|内部技术/工作讨论",05-09 23:08
7079152,"楚门-泛产品设计审美课","泛产品设计",02:57:27,4,1,1,一堂课程,"一堂课程",05-09 20:10
7076511,"一堂-泛产品设计实操课","泛产品设计",02:23:12,4,1,1,一堂课程,"一堂课程",05-09 17:47
7067088,"一堂-泛产品设计课程","泛产品设计",03:38:42,4,1,1,一堂课程,"一堂课程",05-09 14:08
7051096,"SPIN销售法-读书会","",02:27:46,4,1,1,销售/招商/合作沟通,"销售/招商/合作沟通|一堂课程|内部技术/工作讨论",05-08 23:17
7049040,"一堂-调研行动营课程","调研课题",02:20:21,4,1,1,AI/技术,"AI/技术|一堂课程|内部技术/工作讨论",05-08 20:56
7016471,"一堂-泛产品设计课程","泛产品设计",02:56:58,4,1,1,一堂课程,"一堂课程",05-07 22:24
7013356,"一堂-泛产品设计工具课","泛产品设计",02:48:55,4,1,1,一堂课程,"一堂课程",05-07 19:35
7009001,"一堂-泛产品设计探索营","泛产品设计",02:42:04,4,1,1,一堂课程,"一堂课程",05-07 16:51
6986408,"一堂-知识萃取探索营","",02:20:03,4,1,1,一堂课程,"一堂课程|内部技术/工作讨论",05-07 01:08
6979994,"一堂-科学学习认知篇","",02:57:46,4,1,1,一堂课程,"一堂课程",05-06 17:30
6969299,"一堂-IPO模型实操课","",03:00:04,4,1,1,一堂课程,"一堂课程",05-06 13:07
6969289,"2026-05-06 13:07 录音","",00:00,90,0,3,未分类,"",05-06 13:07
6969035,"周末成长之旅-直播课","",10:56,4,1,1,未分类,"",05-06 12:56
6955043,"一堂-案例必修课","",02:50:06,4,1,1,一堂课程,"一堂课程",05-05 22:00
6951012,"一堂-课程地图精华串讲","",03:48:00,4,1,1,一堂课程,"一堂课程|AI/技术",05-05 16:05
6942341,"张磊-调研问诊直播","",02:45:33,4,1,1,诊所/患者相关,"诊所/患者相关|AI/技术|一堂课程",05-04 20:03
6922928,"一堂-调研行动营启动","",02:49:39,4,1,1,AI/技术,"AI/技术|一堂课程",05-02 17:46
6921182,"多人-租房退租沟通","",02:23:15,4,1,1,未分类,"",05-02 14:29
6879494,"一堂-调研方法培训","",02:56:49,4,1,1,AI/技术,"AI/技术|一堂课程",04-29 21:05
6757945,"AI选品工具需求沟通会","",01:03:01,4,1,1,AI/技术,"AI/技术|销售/招商/合作沟通",04-25 21:41
6752346,"多人-系统费用沟通","",04:31,4,1,1,未分类,"",04-25 15:17
6695536,"多人-云聚米系统沟通","",01:29:34,4,1,1,智能药柜/医疗业务,"智能药柜/医疗业务|诊所/患者相关",04-23 16:15
6627749,"奢侈品-存量时代营销逻辑","",01:56:15,4,1,1,AI/技术,"AI/技术|商业方法论",04-21 20:26
6578799,"药柜设备-技术方案讨论","",01:49:40,4,1,1,智能药柜/医疗业务,"智能药柜/医疗业务|供应链/硬件制造|内部技术/工作讨论",04-20 15:21
6562680,"黑系统-云巨米对接沟通","",12:06,4,1,1,智能药柜/医疗业务,"智能药柜/医疗业务",04-20 09:42
6552291,"一堂-调研黑客奥斯卡模型","",02:27:10,4,1,1,一堂课程,"一堂课程",04-19 19:47
6507276,"团队-项目周会","",19:55,4,1,1,智能药柜/医疗业务,"智能药柜/医疗业务",04-17 15:09
6498808,"多人-报价表拆分沟通","",02:10:09,4,1,1,内部技术/工作讨论,"内部技术/工作讨论|医疗系统/合规",04-17 11:32
6480162,"AI员工-数字产品创业案例","",01:18:14,4,1,1,AI/技术,"AI/技术",04-16 18:40
6445435,"AI工具使用分享","",01:46:19,4,1,1,AI/技术,"AI/技术",04-15 20:08
6381404,"设备对接-技术讨论会议","鑫港湾和千惠技术对接",45:34,4,1,1,智能药柜/医疗业务,"智能药柜/医疗业务|内部技术/工作讨论",04-14 10:09
6362082,"鑫港湾-数字药房规划会议","",01:02:35,4,1,1,智能药柜/医疗业务,"智能药柜/医疗业务",04-13 16:47
6323276,"医疗AI项目-创客沟通","",51:33,4,1,1,诊所/患者相关,"诊所/患者相关|智能药柜/医疗业务|医疗系统/合规|AI/技术|一堂课程",04-12 15:00
6321762,"多人-医疗AI项目沟通","",05:59,4,1,1,医疗系统/合规,"医疗系统/合规|AI/技术",04-12 13:39
6311449,"一堂-商业项目宣讲会","",05:15:54,4,1,1,AI/技术,"AI/技术|一堂课程|商业方法论",04-11 19:51
6272697,"外卖平台-智能分单系统沟通","鑫港湾和千惠技术对接",02:20:48,4,1,1,未分类,"",04-10 12:54
6272340,"2026-04-10 12:40 录音","鑫港湾和千惠技术对接",00:30,4,1,3,未分类,"",04-10 12:40
6269640,"货柜-结构与电子方案讨论","鑫港湾和千惠技术对接",01:19:06,4,1,1,内部技术/工作讨论,"内部技术/工作讨论",04-10 11:20
6253966,"一堂-项目展演会议","",54:45,4,1,1,AI/技术,"AI/技术|一堂课程|销售/招商/合作沟通|内部技术/工作讨论",04-09 22:48
